idx,seconds,feat__type,hog__block_norm,hog__cells_per_block,hog__orientations,hog__pixels_per_cell,pca__n_components,svm__C,mean_accuracy,fold_scores,fold_mean,fold_std,sift__contrastThreshold,sift__edgeThreshold,sift__n_features,sift__sigma
86,174.52202701568604,hog,L2-Hys,"(3, 3)",6.0,"(8, 16)",256,1.0,0.765872065165309,"[0.7656923814087206, 0.7660517489218974]",0.765872065165309,0.0001796837565883891,,,,
87,174.72770810127258,hog,L2-Hys,"(3, 3)",6.0,"(8, 16)",256,4.0,0.7658121705797796,"[0.7655725922376617, 0.7660517489218974]",0.7658121705797796,0.00023957834211785212,,,,
88,159.50099778175354,hog,L2-Hys,"(3, 3)",6.0,"(16, 16)",128,0.002,0.7561092477240058,"[0.7574269286056541, 0.7547915668423575]",0.7561092477240058,0.0013176808816482977,,,,
89,160.1341359615326,hog,L2-Hys,"(3, 3)",6.0,"(16, 16)",128,0.25,0.757546717776713,"[0.7591039770004792, 0.7559894585529469]",0.757546717776713,0.0015572592237661498,,,,
90,159.06935095787048,hog,L2-Hys,"(3, 3)",6.0,"(16, 16)",128,1.0,0.757546717776713,"[0.7591039770004792, 0.7559894585529469]",0.757546717776713,0.0015572592237661498,,,,
91,157.62013006210327,hog,L2-Hys,"(3, 3)",6.0,"(16, 16)",128,4.0,0.757546717776713,"[0.7591039770004792, 0.7559894585529469]",0.757546717776713,0.0015572592237661498,,,,
92,158.76025223731995,hog,L2-Hys,"(3, 3)",6.0,"(16, 16)",256,0.002,0.7648538572113082,"[0.7691662673694298, 0.7605414470531864]",0.7648538572113082,0.004312410158121727,,,,
93,159.88880729675293,hog,L2-Hys,"(3, 3)",6.0,"(16, 16)",256,0.25,0.7656923814087206,"[0.7696454240536655, 0.7617393387637758]",0.7656923814087206,0.003953042644944893,,,,
94,160.93049311637878,hog,L2-Hys,"(3, 3)",6.0,"(16, 16)",256,1.0,0.7655126976521323,"[0.7695256348826066, 0.7614997604216579]",0.7655126976521323,0.004012937230474356,,,,
95,165.64267301559448,hog,L2-Hys,"(3, 3)",6.0,"(16, 16)",256,4.0,0.7655126976521323,"[0.7695256348826066, 0.7614997604216579]",0.7655126976521323,0.004012937230474356,,,,
96,218.8762550354004,hog,L2-Hys,"(3, 3)",9.0,"(8, 8)",128,0.002,0.7529348346909439,"[0.7523957834211787, 0.7534738859607092]",0.7529348346909439,0.0005390512697652228,,,,
97,304.2980589866638,hog,L2-Hys,"(3, 3)",9.0,"(8, 8)",128,0.25,0.7486823191183517,"[0.7483229516051749, 0.7490416866315285]",0.7486823191183517,0.0003593675131767782,,,,
98,310.76087498664856,hog,L2-Hys,"(3, 3)",9.0,"(8, 8)",128,1.0,0.7048394825107811,"[0.6869908960229996, 0.7226880689985625]",0.7048394825107811,0.01784858648778148,,,,
99,313.63100814819336,hog,L2-Hys,"(3, 3)",9.0,"(8, 8)",128,4.0,0.6761499760421659,"[0.6795639674173455, 0.6727359846669861]",0.6761499760421659,0.0034139913751796702,,,,
100,223.68405604362488,hog,L2-Hys,"(3, 3)",9.0,"(8, 8)",256,0.002,0.7607810253953042,"[0.7582654528030666, 0.7632965979875419]",0.7607810253953042,0.0025155725922376693,,,,
101,402.26648783683777,hog,L2-Hys,"(3, 3)",9.0,"(8, 8)",256,0.25,0.758445136559655,"[0.7562290368950647, 0.7606612362242453]",0.758445136559655,0.0022160996645902986,,,,
102,406.04171991348267,hog,L2-Hys,"(3, 3)",9.0,"(8, 8)",256,1.0,0.7178366075706756,"[0.7059175850503114, 0.7297556300910397]",0.7178366075706756,0.011919022520364142,,,,
103,416.90192794799805,hog,L2-Hys,"(3, 3)",9.0,"(8, 8)",256,4.0,0.6901653090560613,"[0.6570436032582655, 0.7232870148538572]",0.6901653090560613,0.03312170579779583,,,,
104,173.4409658908844,hog,L2-Hys,"(3, 3)",9.0,"(8, 16)",128,0.002,0.7580857690464782,"[0.7558696693818879, 0.7603018687110685]",0.7580857690464782,0.0022160996645902986,,,,
105,173.96390795707703,hog,L2-Hys,"(3, 3)",9.0,"(8, 16)",128,0.25,0.759343555342597,"[0.7583852419741255, 0.7603018687110685]",0.759343555342597,0.0009583133684715195,,,,
106,174.6345181465149,hog,L2-Hys,"(3, 3)",9.0,"(8, 16)",128,1.0,0.7592836607570675,"[0.7583852419741255, 0.7601820795400096]",0.7592836607570675,0.0008984187829420565,,,,
107,174.359295129776,hog,L2-Hys,"(3, 3)",9.0,"(8, 16)",128,4.0,0.7592836607570675,"[0.7583852419741255, 0.7601820795400096]",0.7592836607570675,0.0008984187829420565,,,,
108,174.91561079025269,hog,L2-Hys,"(3, 3)",9.0,"(8, 16)",256,0.002,0.7655725922376617,"[0.764853857211308, 0.7662913272640154]",0.7655725922376617,0.0007187350263536674,,,,
109,174.99529218673706,hog,L2-Hys,"(3, 3)",9.0,"(8, 16)",256,0.25,0.7670699568758984,"[0.7660517489218974, 0.7680881648298994]",0.7670699568758984,0.0010182079540009825,,,,
110,175.27211332321167,hog,L2-Hys,"(3, 3)",9.0,"(8, 16)",256,1.0,0.7672496406324869,"[0.7662913272640154, 0.7682079540009583]",0.7672496406324869,0.000958313368471464,,,,
111,177.45859026908875,hog,L2-Hys,"(3, 3)",9.0,"(8, 16)",256,4.0,0.7672496406324869,"[0.7662913272640154, 0.7682079540009583]",0.7672496406324869,0.000958313368471464,,,,
112,161.22112894058228,hog,L2-Hys,"(3, 3)",9.0,"(16, 16)",128,0.002,0.7607211308097748,"[0.7591039770004792, 0.7623382846190704]",0.7607211308097748,0.0016171538092956128,,,,
113,161.41732096672058,hog,L2-Hys,"(3, 3)",9.0,"(16, 16)",128,0.25,0.7624580737901294,"[0.7606612362242453, 0.7642549113560134]",0.7624580737901294,0.0017968375658840574,,,,
114,161.7180619239807,hog,L2-Hys,"(3, 3)",9.0,"(16, 16)",128,1.0,0.7625778629611883,"[0.7609008145663632, 0.7642549113560134]",0.7625778629611883,0.0016770483948251313,,,,
115,162.14927220344543,hog,L2-Hys,"(3, 3)",9.0,"(16, 16)",128,4.0,0.7625778629611883,"[0.7609008145663632, 0.7642549113560134]",0.7625778629611883,0.0016770483948251313,,,,
116,164.04463720321655,hog,L2-Hys,"(3, 3)",9.0,"(16, 16)",256,0.002,0.7670699568758985,"[0.765093435553426, 0.7690464781983709]",0.7670699568758985,0.0019765213224724465,,,,
117,164.14175701141357,hog,L2-Hys,"(3, 3)",9.0,"(16, 16)",256,0.25,0.7688667944417824,"[0.7652132247244849, 0.77252036415908]",0.7688667944417824,0.0036535697172975223,,,,
118,162.93081498146057,hog,L2-Hys,"(3, 3)",9.0,"(16, 16)",256,1.0,0.768806899856253,"[0.765093435553426, 0.77252036415908]",0.768806899856253,0.0037134643028269854,,,,
119,161.4435007572174,hog,L2-Hys,"(3, 3)",9.0,"(16, 16)",256,4.0,0.7687470052707235,"[0.765093435553426, 0.7724005749880211]",0.7687470052707235,0.0036535697172975223,,,,
120,215.52397990226746,hog,L2-Hys,"(3, 3)",12.0,"(8, 8)",128,0.002,0.7545519885002396,"[0.7541926209870627, 0.7549113560134164]",0.7545519885002396,0.0003593675131768337,,,,
121,308.77306604385376,hog,L2-Hys,"(3, 3)",12.0,"(8, 8)",128,0.25,0.7513176808816483,"[0.751796837565884, 0.7508385241974126]",0.7513176808816483,0.00047915668423570423,,,,
122,316.2561311721802,hog,L2-Hys,"(3, 3)",12.0,"(8, 8)",128,1.0,0.6936990896022999,"[0.6629132726401533, 0.7244849065644465]",0.6936990896022999,0.030785816962146606,,,,
123,315.46468901634216,hog,L2-Hys,"(3, 3)",12.0,"(8, 8)",128,4.0,0.6656684235745088,"[0.6965740297077144, 0.6347628174413033]",0.6656684235745088,0.030905606133205588,,,,
124,228.9635992050171,hog,L2-Hys,"(3, 3)",12.0,"(8, 8)",256,0.002,0.7591039770004792,"[0.7581456636320076, 0.7600622903689507]",0.7591039770004792,0.0009583133684715195,,,,
125,402.42228603363037,hog,L2-Hys,"(3, 3)",12.0,"(8, 8)",256,0.25,0.7543124101581218,"[0.7574269286056541, 0.7511978917105894]",0.7543124101581218,0.003114518447532355,,,,
126,413.2305941581726,hog,L2-Hys,"(3, 3)",12.0,"(8, 8)",256,1.0,0.7076545280306661,"[0.7223287014853857, 0.6929803545759463]",0.7076545280306661,0.014674173454719719,,,,
127,420.93177795410156,hog,L2-Hys,"(3, 3)",12.0,"(8, 8)",256,4.0,0.6925011978917106,"[0.7168183996166747, 0.6681839961667465]",0.6925011978917106,0.0243172017249641,,,,
128,181.1400010585785,hog,L2-Hys,"(3, 3)",12.0,"(8, 16)",128,0.002,0.7576665069477719,"[0.7589841878294202, 0.7563488260661236]",0.7576665069477719,0.0013176808816482977,,,,
129,277.9345111846924,hog,L2-Hys,"(3, 3)",12.0,"(8, 16)",128,0.25,0.7571873502635362,"[0.7583852419741255, 0.7559894585529469]",0.7571873502635362,0.001197891710589316,,,,
130,278.87977170944214,hog,L2-Hys,"(3, 3)",12.0,"(8, 16)",128,1.0,0.7355654048873982,"[0.7432918064206996, 0.7278390033540968]",0.7355654048873982,0.007726401533301397,,,,
131,280.838093996048,hog,L2-Hys,"(3, 3)",12.0,"(8, 16)",128,4.0,0.6916027791087687,"[0.6739338763775755, 0.7092716818399617]",0.6916027791087687,0.017668902731193092,,,,
132,187.68275213241577,hog,L2-Hys,"(3, 3)",12.0,"(8, 16)",256,0.002,0.7659319597508385,"[0.7658121705797796, 0.7660517489218974]",0.7659319597508385,0.00011978917105892606,,,,
133,364.0359230041504,hog,L2-Hys,"(3, 3)",12.0,"(8, 16)",256,0.25,0.7674293243890752,"[0.7661715380929564, 0.768687110685194]",0.7674293243890752,0.0012577862961188346,,,,
134,374.37787914276123,hog,L2-Hys,"(3, 3)",12.0,"(8, 16)",256,1.0,0.7447891710589363,"[0.7453282223287014, 0.7442501197891711]",0.7447891710589363,0.0005390512697651673,,,,
135,377.3336672782898,hog,L2-Hys,"(3, 3)",12.0,"(8, 16)",256,4.0,0.67004072831816,"[0.6542884523239099, 0.6857930043124102]",0.67004072831816,0.015752275994250164,,,,
